266487,13720,208
I just had an astounding realisation. You’re like the male version of Rory Gilmore,0.6486,0
"Here’s what I learnt during university days:

1. Grades don’t matter
2. Take any extra courses (although they’re fillers)
3. You can find a job that’s not related to your major
4. Don’t think getting admitted to top universities is a good thing
5. Not every alumnus enjoyed university, a lot have regret, but they won’t matter in the future",0.4588,1
Thank you!!,0.4738,0
The Harvard isn't great but it's the people refers to Swimmer's Body Illusion which is true. You should try reading The Art of Thinking Clearly.,0.7272,0
"John this video is so good, thank you♡♡♡ kisses from Argentina",0.8696,0
"You're a great inspiration John, I love watching your videos. Love from Sweden🇸🇪❤❤",0.9509,1
The people who are likely not to make it in life are the ones here  commenting on him not blinking that much.  Work on focusing on things that matter.,0.0258,1
"Thanks for sharing this with us , that was helpful",0.8176,1
What other than the people would a university be. Buildings don’t matter. But faculty and friends do at college,0.4939,0
How can I get into harward?,0.0,0
"Wow... your passion for knowledge is really admirable. It's as if listening to you share about what you're doing rn makes me want to also pursue the things that make me happy w/out restriction.. But that's just a personal issue of mine rn. This just shows how much love you've been putting to yourself in life, as well as the dedication in your priorities.",0.9606,0
College is a waste of time for smart people,-0.0258,0
"Sometimes it is hard to know what one's future self will think, looking back.  Did I make rational choices,  or am I now rationalizing the choices that I made?",-0.1027,0
"HOLY MOLY did this feel just REALLY relatable, especially #3. Problem is, I got such a kick out of helping others that I was losing my drive to do well in school. John, how did you overcome this problem? How many hours did you spend in school vs. helping others? And how long should it take to improve my habits and just work more time efficiently?
Also, on your last ""lesson,"" I would agree with the point, but as a community college student who's looking to transfer to a 4-year uni., I would say there's a big difference in the sense that I have to make more of an effort to find those ""exceptional and inspirational"" people. Luckily, the energy boost I get from meeting these kinds of people vs. meeting someone who likes the same memes I do is VERY different and noticeable.",0.9717,0
bro im not hating but your talking about sacrificing 100's for 80's and 90's to free up time. bro im lucky if i can get an 80% on an exam,0.875,0
